customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
DEMO-0027,Male,0,No,No,6,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Mailed check,84.98,498.08,Yes
DEMO-0028,Male,0,No,Yes,19,Yes,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),46.13,975.14,Yes
DEMO-0029,Male,0,Yes,No,53,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),45.05,2847.98,No
DEMO-0030,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),41.5,586.03,No
DEMO-0031,Female,1,Yes,Yes,13,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),90.74,1182.77,No
DEMO-0032,Female,0,Yes,No,57,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,No,Electronic check,97.05,4435.81,No
DEMO-0033,Female,0,Yes,Yes,69,No,Yes,Fiber optic,Yes,Yes,No,No,No,No internet service,Two year,No,Mailed check,59.02,4118.84,Yes
DEMO-0034,Male,0,Yes,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),87.46,3743.1,No
DEMO-0035,Male,0,Yes,No,70,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,29.08,2386.3,Yes
DEMO-0036,Female,0,Yes,Yes,28,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),46.55,1237.85,Yes
DEMO-0037,Male,0,No,No,23,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,42.31,1054.76,Yes
DEMO-0038,Male,0,Yes,No,23,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),114.18,2503.84,No
DEMO-0039,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,66.45,3730.81,No
DEMO-0040,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.81,902.58,No
DEMO-0041,Female,0,No,No,39,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,111.22,3763.27,Yes
DEMO-0042,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),64.83,4362.03,No
DEMO-0043,Female,0,No,No,14,Yes,No,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,37.08,504.63,Yes
DEMO-0044,Female,0,No,No,48,Yes,Yes,No,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),83.39,4656.36,Yes
DEMO-0045,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,42.46,1952.16,Yes
DEMO-0046,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),18.52,1269.9,Yes
DEMO-0047,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),98.31,6136.63,Yes
DEMO-0048,Male,0,No,No,44,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,91.11,4552.95,No
DEMO-0049,Male,1,Yes,No,45,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,76.64,3371.37,Yes
DEMO-0050,Female,0,Yes,No,16,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,119.03,1998.95,No
DEMO-0051,Female,0,Yes,No,63,Yes,No phone service,DSL,Yes,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),109.83,7113.75,No
DEMO-0052,Male,0,No,No,6,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,No,Mailed check,28.7,163.54,Yes
DEMO-0053,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Mailed check,30.73,2249.83,Yes
DEMO-0054,Female,0,No,Yes,25,Yes,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,41.11,893.11,No
DEMO-0055,Male,0,Yes,Yes,61,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,20.34,1062.05,Yes
DEMO-0056,Female,0,Yes,No,44,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,94.52,3805.95,Yes
DEMO-0057,Male,0,Yes,Yes,56,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),45.96,3082.09,No
DEMO-0058,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),82.49,568.17,Yes
DEMO-0059,Female,0,No,No,38,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),61.17,2728.45,No
DEMO-0060,Male,0,Yes,Yes,57,No,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),35.84,1998.83,Yes
DEMO-0061,Female,0,Yes,No,64,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),110.58,7307.68,No
DEMO-0062,Male,0,No,No,40,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),102.2,4558.17,Yes
DEMO-0063,Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.67,2569.71,No
DEMO-0064,Male,1,Yes,Yes,37,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),83.79,2579.95,Yes
DEMO-0065,Male,0,No,No,24,No,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,One year,Yes,Mailed check,58.5,1249.45,No
DEMO-0066,Male,0,No,No,21,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),118.24,2519.06,Yes
DEMO-0067,Male,0,Yes,No,71,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,51.33,3893.35,Yes
DEMO-0068,Female,0,Yes,Yes,72,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.34,6674.28,Yes
DEMO-0069,Male,0,Yes,No,2,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),86.92,151.47,Yes
DEMO-0070,Male,0,No,No,67,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),60.65,4611.73,No
DEMO-0071,Female,0,No,No,11,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.87,677.46,Yes
DEMO-0072,Female,0,No,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),82.75,4533.29,Yes
DEMO-0073,Female,1,No,Yes,37,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.55,1365.75,No
DEMO-0074,Female,0,No,No,51,Yes,Yes,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,69.94,4219.94,No
DEMO-0075,Male,1,No,Yes,17,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),28.67,580.33,No
DEMO-0076,Male,0,No,No,45,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,No,Electronic check,45.93,1931.45,No
DEMO-0077,Male,1,No,No,49,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,41.35,1839.67,No
DEMO-0078,Male,1,Yes,No,29,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),56.05,1453.35,No
DEMO-0079,Female,1,No,Yes,12,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,98.92,1286.35,No
DEMO-0080,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),100.84,944.62,No
DEMO-0081,Male,0,Yes,Yes,24,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,101.3,2800.81,No
DEMO-0082,Male,0,No,Yes,71,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,113.89,9141.21,No
DEMO-0083,Male,0,Yes,No,19,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),42.13,819.14,No
DEMO-0084,Male,0,No,No,38,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,19.62,656.96,No
DEMO-0085,Female,0,Yes,No,65,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),67.87,4600.33,No
DEMO-0086,Male,0,No,No,22,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),19.55,425.99,No
DEMO-0087,Female,0,No,Yes,37,Yes,Yes,No,No internet service,No,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),111.82,4083.94,No
DEMO-0088,Female,0,No,No,50,No,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.27,3037.95,Yes
DEMO-0089,Male,0,Yes,Yes,53,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Credit card (automatic),119.95,6964.64,No
DEMO-0090,Female,0,Yes,No,36,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,105.23,3774.32,Yes
DEMO-0091,Female,0,Yes,No,8,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,52.54,445.45,Yes
DEMO-0092,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),97.19,1081.95,Yes
DEMO-0093,Male,0,Yes,Yes,22,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),94.15,2342.08,No
DEMO-0094,Female,0,No,Yes,60,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),19.4,1170.29,Yes
DEMO-0095,Female,0,Yes,No,18,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),92.89,1684.42,No
DEMO-0096,Female,0,Yes,No,15,Yes,No,No,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.98,1568.4,Yes
DEMO-0097,Male,0,No,No,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),109.39,2067.62,Yes
DEMO-0098,Male,0,No,No,52,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),45.49,2782.67,No
DEMO-0099,Male,0,Yes,No,67,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),39.35,2601.38,Yes
DEMO-0100,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),86.32,1202.3,No
DEMO-0101,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),114.21,4823.21,Yes
DEMO-0102,Male,1,No,No,18,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),108.37,1807.09,No
DEMO-0103,Female,1,No,Yes,28,Yes,Yes,No,No,Yes,Yes,No internet service,No,No internet service,Two year,No,Mailed check,63.43,1863.61,No
DEMO-0104,Female,0,Yes,No,36,Yes,Yes,No,No,No internet service,No,No internet service,No internet service,No internet service,One year,No,Mailed check,40.1,1415.15,No
DEMO-0105,Female,0,Yes,No,60,No,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),26.78,1508.64,No
DEMO-0106,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,80.57,1787.64,No
DEMO-0107,Female,0,No,No,42,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,60.99,2378.34,No
DEMO-0108,Female,0,Yes,Yes,19,Yes,No,DSL,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.26,1768.93,No
DEMO-0109,Male,0,No,Yes,9,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,18.96,155.19,No
DEMO-0110,Male,0,No,No,7,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),116.62,718.2,Yes
DEMO-0111,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),31.03,709.46,No
DEMO-0112,Female,0,Yes,No,50,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.59,1124.83,No
DEMO-0113,Male,1,Yes,No,18,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),55.15,838.09,Yes
DEMO-0114,Female,0,Yes,No,53,Yes,Yes,No,No,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,45.01,2646.95,No
DEMO-0115,Female,0,No,No,31,Yes,Yes,No,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),29.3,767.68,No
DEMO-0116,Female,0,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),32.7,1431.31,No
DEMO-0117,Female,1,No,Yes,8,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),33.93,245.91,Yes
DEMO-0118,Female,1,No,No,13,No,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),62.99,864.7,No
DEMO-0119,Female,0,Yes,No,49,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),69.82,3464.5,No
DEMO-0120,Female,1,Yes,No,70,Yes,No phone service,No,No internet service,No,No,No,Yes,No,One year,No,Bank transfer (automatic),70.76,4753.21,No
DEMO-0121,Male,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),84.77,4126.64,No
DEMO-0122,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,27.06,1280.26,No
DEMO-0123,Female,1,No,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),72.6,1765.15,No
DEMO-0124,Female,1,No,No,70,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),35.64,2596.73,No
DEMO-0125,Female,0,No,No,41,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,32.2,1172.8,Yes
DEMO-0126,Male,0,Yes,No,43,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Mailed check,52.2,2098.53,No
DEMO-0127,Male,0,No,Yes,26,No,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,105.26,3082.62,No
DEMO-0128,Male,0,No,Yes,5,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),75.49,384.81,No
DEMO-0129,Female,0,Yes,No,39,Yes,No,DSL,No internet service,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),90.08,3439.14,No
DEMO-0130,Female,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),102.33,3208.61,No
DEMO-0131,Male,0,Yes,No,40,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),42.12,1616.45,Yes
DEMO-0132,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.37,1430.76,Yes
DEMO-0133,Female,1,Yes,No,35,No,No phone service,No,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,91.13,2573.47,No
DEMO-0134,Female,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.03,3313.58,Yes
DEMO-0135,Male,0,Yes,Yes,29,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,101.06,2502.42,No
DEMO-0136,Male,0,Yes,No,46,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),48.8,2085.64,No
DEMO-0137,Male,1,Yes,No,61,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,101.46,7347.64,Yes
DEMO-0138,Female,0,Yes,Yes,68,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,96.56,7579.75,No
DEMO-0139,Male,0,Yes,No,52,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No,One year,Yes,Electronic check,64.97,3429.95,No
DEMO-0140,Female,0,Yes,No,47,Yes,No,No,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),103.11,5551.36,Yes
DEMO-0141,Female,1,No,No,47,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),38.11,2015.98,No
DEMO-0142,Male,1,Yes,Yes,6,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,32.27,207.4,Yes
DEMO-0143,Male,0,Yes,No,54,Yes,No,No,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,81.48,3598.52,Yes
DEMO-0144,Female,0,Yes,No,48,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,37.83,1735.1,No
DEMO-0145,Male,0,No,No,66,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),117.67,8083.23,Yes
DEMO-0146,Female,0,Yes,Yes,55,No,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),60.59,3649.3,Yes
DEMO-0147,Female,1,Yes,Yes,25,No,No,DSL,No,Yes,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),67.52,1875.64,No
DEMO-0148,Female,0,Yes,No,37,Yes,No phone service,Fiber optic,No,No,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),79.34,3254.29,No
DEMO-0149,Female,0,No,No,5,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),95.65,504.6,No
DEMO-0150,Male,0,Yes,No,6,No,Yes,No,No,No,No internet service,No,No,Yes,Two year,No,Electronic check,112.33,609.12,No
DEMO-0151,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),45.11,2468.3,No
DEMO-0152,Male,0,Yes,No,27,Yes,No,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),54.27,1202.02,No
DEMO-0153,Female,1,Yes,No,51,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,101.42,5616.6,No
DEMO-0154,Male,0,Yes,No,46,Yes,No,No,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),49.76,2017.16,Yes
DEMO-0155,Male,0,No,No,40,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,Two year,No,Electronic check,51.02,2095.35,No
DEMO-0156,Female,0,No,No,19,Yes,Yes,No,Yes,No,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,89.93,1982.08,No
DEMO-0157,Female,0,Yes,No,40,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Credit card (automatic),73.87,2697.56,No
DEMO-0158,Male,0,No,No,67,No,No phone service,DSL,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,99.5,6054.8,No
DEMO-0159,Female,0,Yes,No,3,Yes,No phone service,No,Yes,No,No,No,No,No,One year,Yes,Electronic check,69.44,180.31,No
DEMO-0160,Female,0,No,No,14,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),99.65,1257.67,Yes
DEMO-0161,Female,1,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),118.51,8532.09,No
DEMO-0162,Male,0,No,No,6,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),86.38,531.96,Yes
DEMO-0163,Female,0,Yes,No,58,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),61.59,3097.99,No
